X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,Y
19322,15,0.361573499,0,174.64,kOT,68,1475,kC,kM,250,kM,483,733,5000,kU,1,k0,k1,19322,17847,1105,k26,k10,kD,20.87,14.69,68,kO,kN,k3,0
3500,3,0.498305085,0,147,kOT,20,215,kS,kM,185,kM,295,480,3000,kP,1,k0,k4,3500,3285,735,k02,k10,kD,11.53,14.69,19,kR,kF,k3,0
24338.24,4,0.393314367,1,276.5,kOT,44,0,kC,kM,240,kM,703,943,10000,kS,1,k0,k9,24338.24,24338.24,1462,k12,k17,kD,27.2,13.99,43,kO,kN,k3,0
133581.59,30,11.74982752,0,5279.55,kOT,62,1377.69,kC,kS,290,kF,449.33,739.33,5000,kS,2,k0,k6,133581.59,132203.9,162,k03,k10,kI,3283.96,12,62,kO,kN,k3,0
21033,2,0.432280407,2,421.91,kOT,32,1094.85,kC,kM,494.87,kM,976.01,1470.88,15000,kU,1,k0,k7,21033,19938.15,1472,k23,k17,kD,45.84,14.69,34,kO,kF,k3,0
4000,3,0.227837079,0,243.33,kOT,28,0,kS,kM,220,kM,1068,1288,5000,kS,2,k0,k2,4000,4000,734,k23,k10,kD,0.11,14.69,26,kO,kF,k3,1
61600.15,13,0.824735294,1,280.41,kOT,52,19084.86,kC,kM,235,kM,340,575,10000,kS,1,k0,k5,61600.15,42515.29,1465,k22,k10,kD,383.77,14.69,56,kO,kN,k3,0
3000,2,0.369347826,0,101.94,kOT,26,0,kS,kM,285,kF,276,561,2100,kU,1,k0,k6,3000,3000,726,k16,k10,kD,1.12,14.69,25,kO,kF,k3,0
23196,3,0.14940874,2,174.36,kOT,31,0,kC,kM,298,kM,1167,1465,5000,kS,1,k0,k9,23196,23196,1099,k19,k17,kD,5.11,14.69,34,kR,kF,k3,0
27481.24,4,0.282660755,1,174.69,kOT,37,0,kC,kM,300,kF,618.02,918.02,5000,kP,1,k0,k5,27481.24,27481.24,1104,k23,k10,kD,8.6,14.69,38,kO,kN,k3,0
63567.04,29,0.399819465,1,248.04,kOT,48,2233.26,kC,kM,466.15,kM,620.38,1086.53,8000,kS,3,k0,k2,63567.04,61333.78,1286,k19,k10,kD,5.18,14.69,51,kO,kN,k3,0
125605.91,16,0.299262555,0,145.28,kOT,66,4196.01,kC,kM,411,kM,485.46,896.46,3000,kP,3,k0,k1,125605.91,121409.9,727,k26,k10,kD,378.75,14.69,68,kR,kN,k3,0
